Timestamp,Logic,Parameter,Old_Value,New_Value,Changed_By,Notes
2025-12-10 18:20:38.465,A,velocidades_lineal.nivel1,3000,3400,Engineer,Bulk update via web interface
2025-12-10 18:20:38.466,A,velocidades_taladro.nivel1,2200,2200,Engineer,Bulk update via web interface
2025-12-10 18:20:38.467,A,pasos_primer_nivel.nivel1,175,175,Engineer,Bulk update via web interface
2025-12-10 18:20:38.467,A,pasos_acomodo_segundo_nivel.nivel1,175,175,Engineer,Bulk update via web interface
2025-12-10 18:20:38.467,A,pasos_segundo_nivel.nivel1,225,225,Engineer,Bulk update via web interface
2025-12-10 18:20:38.468,A,vueltas_primer_nivel.nivel1,100,100,Engineer,Bulk update via web interface
2025-12-10 18:20:38.468,A,vueltas_segundo_nivel.nivel1,1000,1000,Engineer,Bulk update via web interface
2025-12-10 18:23:23.408,A,velocidades_lineal.nivel1,3400,3600,Engineer,Bulk update via web interface
2025-12-10 18:23:23.408,A,velocidades_taladro.nivel1,2200,2200,Engineer,Bulk update via web interface
2025-12-10 18:23:23.408,A,pasos_primer_nivel.nivel1,175,175,Engineer,Bulk update via web interface
2025-12-10 18:23:23.409,A,pasos_acomodo_segundo_nivel.nivel1,175,175,Engineer,Bulk update via web interface
2025-12-10 18:23:23.409,A,pasos_segundo_nivel.nivel1,225,225,Engineer,Bulk update via web interface
2025-12-10 18:23:23.410,A,vueltas_primer_nivel.nivel1,100,100,Engineer,Bulk update via web interface
2025-12-10 18:23:23.410,A,vueltas_segundo_nivel.nivel1,1000,1000,Engineer,Bulk update via web interface
2025-12-10 18:23:46.256,A,pasos_home.pasos_despues_home,425,430,Engineer,Bulk update via web interface
2025-12-10 18:23:46.257,A,tiempos.tiempo_antes_de_girar_ms,2000,2000,Engineer,Bulk update via web interface
2025-12-10 18:23:46.257,A,tiempos.tiempo_para_empezar_despues_stop_ms,2000,2000,Engineer,Bulk update via web interface
2025-12-10 18:23:46.257,A,velocidades_ciclo2.velocidad_pasos_taladro_ciclo2,2200,2200,Engineer,Bulk update via web interface
2025-12-10 18:23:46.257,A,velocidades_ciclo2.pasos_taladro_ciclo2,200,200,Engineer,Bulk update via web interface
2025-12-10 18:23:46.258,A,velocidades_ciclo2.cantidad_giros_taladro_ciclo2,3,3,Engineer,Bulk update via web interface
2025-12-10 18:23:46.258,A,velocidades_manual.limite_inferior,1500,1500,Engineer,Bulk update via web interface
2025-12-10 18:23:46.258,A,velocidades_manual.limite_superior,2500,2500,Engineer,Bulk update via web interface
2025-12-10 18:23:53.515,A,pasos_home.pasos_despues_home,430,425,Engineer,Bulk update via web interface
2025-12-10 18:23:53.515,A,tiempos.tiempo_antes_de_girar_ms,2000,2000,Engineer,Bulk update via web interface
2025-12-10 18:23:53.516,A,tiempos.tiempo_para_empezar_despues_stop_ms,2000,2000,Engineer,Bulk update via web interface
2025-12-10 18:23:53.516,A,velocidades_ciclo2.velocidad_pasos_taladro_ciclo2,2200,2200,Engineer,Bulk update via web interface
2025-12-10 18:23:53.516,A,velocidades_ciclo2.pasos_taladro_ciclo2,200,200,Engineer,Bulk update via web interface
2025-12-10 18:23:53.517,A,velocidades_ciclo2.cantidad_giros_taladro_ciclo2,3,3,Engineer,Bulk update via web interface
2025-12-10 18:23:53.517,A,velocidades_manual.limite_inferior,1500,1500,Engineer,Bulk update via web interface
2025-12-10 18:23:53.517,A,velocidades_manual.limite_superior,2500,2500,Engineer,Bulk update via web interface
2025-12-10 18:24:02.066,A,velocidades_lineal.nivel1,3600,3000,Engineer,Bulk update via web interface
2025-12-10 18:24:02.073,A,velocidades_taladro.nivel1,2200,2200,Engineer,Bulk update via web interface
2025-12-10 18:24:02.074,A,pasos_primer_nivel.nivel1,175,175,Engineer,Bulk update via web interface
2025-12-10 18:24:02.074,A,pasos_acomodo_segundo_nivel.nivel1,175,175,Engineer,Bulk update via web interface
2025-12-10 18:24:02.074,A,pasos_segundo_nivel.nivel1,225,225,Engineer,Bulk update via web interface
2025-12-10 18:24:02.074,A,vueltas_primer_nivel.nivel1,100,100,Engineer,Bulk update via web interface
2025-12-10 18:24:02.074,A,vueltas_segundo_nivel.nivel1,1000,1000,Engineer,Bulk update via web interface
